2022-04-11T13:10:37.0095791+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Start installing Hangfire SQL objects...
2022-04-11T13:10:37.3342505+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Hangfire SQL objects installed.
2022-04-11T13:10:37.4287096+07:00 [INF] (Hangfire.BackgroundJobServer) Starting Hangfire Server using job storage: 'SQL Server: 45.119.82.72@Telesys-Api'
2022-04-11T13:10:37.4302314+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2022-04-11T13:10:37.4309618+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-11T13:10:37.7682322+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 successfully announced in 263.1207 ms
2022-04-11T13:10:37.7739864+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:4040:eb9a5386 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-11T13:10:45.4436092+07:00 [INF] () Looop
2022-04-11T13:10:45.4611037+07:00 [INF] () Looop
2022-04-11T13:10:45.4616356+07:00 [INF] () Looop
2022-04-11T13:10:45.4662793+07:00 [INF] () 1
2022-04-11T13:10:45.4649334+07:00 [INF] () 1
2022-04-11T13:10:45.4655812+07:00 [INF] () 1
2022-04-11T13:10:45.4645760+07:00 [INF] () 1
2022-04-11T13:10:45.4923141+07:00 [INF] () Looop
2022-04-11T13:10:45.4929680+07:00 [INF] () 1
2022-04-11T13:10:45.5341275+07:00 [INF] () Looop
2022-04-11T13:10:45.5367079+07:00 [INF] () 2
2022-04-11T13:10:45.5639596+07:00 [INF] () Looop
2022-04-11T13:10:45.5639548+07:00 [INF] () Looop
2022-04-11T13:10:45.5639285+07:00 [INF] () Looop
2022-04-11T13:10:45.6026813+07:00 [INF] () 2
2022-04-11T13:10:45.6034928+07:00 [INF] () 2
2022-04-11T13:10:45.6057328+07:00 [INF] () 2
2022-04-11T13:10:45.5639285+07:00 [INF] () Looop
2022-04-11T13:10:45.6153768+07:00 [INF] () 2
2022-04-11T13:10:45.5732437+07:00 [INF] () Looop
2022-04-11T13:10:45.5639418+07:00 [INF] () Looop
2022-04-11T13:10:45.6205795+07:00 [INF] () 2
2022-04-11T13:10:45.6193003+07:00 [INF] () 2
2022-04-11T13:10:45.5639794+07:00 [INF] () Looop
2022-04-11T13:10:45.6332981+07:00 [INF] () 2
2022-04-11T13:10:45.6334933+07:00 [INF] () Looop
2022-04-11T13:10:45.6354919+07:00 [INF] () 3
2022-04-11T13:10:45.6657667+07:00 [INF] () Looop
2022-04-11T13:10:45.6657667+07:00 [INF] () Looop
2022-04-11T13:10:45.6670596+07:00 [INF] () 3
2022-04-11T13:10:45.6691684+07:00 [INF] () 3
2022-04-11T13:10:45.6657666+07:00 [INF] () Looop
2022-04-11T13:10:45.6727354+07:00 [INF] () Looop
2022-04-11T13:10:45.6738184+07:00 [INF] () Looop
2022-04-11T13:10:45.6763872+07:00 [INF] () 3
2022-04-11T13:10:45.6766250+07:00 [INF] () 3
2022-04-11T13:10:45.6777390+07:00 [INF] () 3
2022-04-11T13:10:45.6802133+07:00 [INF] () Looop
2022-04-11T13:10:45.6816058+07:00 [INF] () 3
2022-04-11T13:10:45.6865534+07:00 [INF] () Looop
2022-04-11T13:10:45.6884786+07:00 [INF] () 3
2022-04-11T13:10:45.6897075+07:00 [INF] () Looop
2022-04-11T13:10:45.6912283+07:00 [INF] () 4
2022-04-11T13:10:45.7267610+07:00 [INF] () Looop
2022-04-11T13:10:45.7276447+07:00 [INF] () 4
2022-04-11T13:10:45.7269248+07:00 [INF] () Looop
2022-04-11T13:10:45.7318379+07:00 [INF] () 4
2022-04-11T13:10:45.7317237+07:00 [INF] () Looop
2022-04-11T13:10:45.7326082+07:00 [INF] () Looop
2022-04-11T13:10:45.7325876+07:00 [INF] () Looop
2022-04-11T13:10:45.7357578+07:00 [INF] () 4
2022-04-11T13:10:45.7338046+07:00 [INF] () 4
2022-04-11T13:10:45.7347233+07:00 [INF] () 4
2022-04-11T13:10:45.7375480+07:00 [INF] () Looop
2022-04-11T13:10:45.7441225+07:00 [INF] () 4
2022-04-11T13:10:45.7272137+07:00 [INF] () Looop
2022-04-11T13:10:45.7504782+07:00 [INF] () 4
2022-04-11T13:10:45.7586325+07:00 [INF] () Looop
2022-04-11T13:10:45.7594786+07:00 [INF] () 5
2022-04-11T13:10:45.7880539+07:00 [INF] () Looop
2022-04-11T13:10:45.7881029+07:00 [INF] () Looop
2022-04-11T13:10:45.7939787+07:00 [INF] () 5
2022-04-11T13:10:45.7933634+07:00 [INF] () 5
2022-04-11T13:10:45.7934822+07:00 [INF] () Looop
2022-04-11T13:10:45.7949105+07:00 [INF] () Looop
2022-04-11T13:10:45.7949145+07:00 [INF] () Looop
2022-04-11T13:10:45.7998683+07:00 [INF] () 5
2022-04-11T13:10:45.8006477+07:00 [INF] () 5
2022-04-11T13:10:45.8017492+07:00 [INF] () 5
2022-04-11T13:10:45.8054263+07:00 [INF] () Looop
2022-04-11T13:10:45.8070139+07:00 [INF] () 5
2022-04-11T13:10:45.8116261+07:00 [INF] () Looop
2022-04-11T13:10:45.8137449+07:00 [INF] () 5
2022-04-11T13:10:45.8220224+07:00 [INF] () Looop
2022-04-11T13:10:45.8251614+07:00 [INF] () 6
2022-04-11T13:10:45.8536011+07:00 [INF] () Looop
2022-04-11T13:10:45.8536340+07:00 [INF] () Looop
2022-04-11T13:10:45.8555750+07:00 [INF] () 6
2022-04-11T13:10:45.8578818+07:00 [INF] () 6
2022-04-11T13:10:45.8536521+07:00 [INF] () Looop
2022-04-11T13:10:45.8536011+07:00 [INF] () Looop
2022-04-11T13:10:45.8536333+07:00 [INF] () Looop
2022-04-11T13:10:45.8660808+07:00 [INF] () 6
2022-04-11T13:10:45.8627951+07:00 [INF] () 6
2022-04-11T13:10:45.9025230+07:00 [INF] () Looop
2022-04-11T13:10:45.8636777+07:00 [INF] () 6
2022-04-11T13:10:45.8536011+07:00 [INF] () Looop
2022-04-11T13:10:45.9025693+07:00 [INF] () Looop
2022-04-11T13:14:56.8036164+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Start installing Hangfire SQL objects...
2022-04-11T13:14:56.9857021+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Hangfire SQL objects installed.
2022-04-11T13:14:57.0496888+07:00 [INF] (Hangfire.BackgroundJobServer) Starting Hangfire Server using job storage: 'SQL Server: 45.119.82.72@Telesys-Api'
2022-04-11T13:14:57.0506244+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2022-04-11T13:14:57.0515720+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-11T13:14:57.2851201+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:30572:c7af53b4 successfully announced in 216.5356 ms
2022-04-11T13:14:57.2946167+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:30572:c7af53b4 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-11T13:14:57.3753530+07:00 [INF] (Hangfire.Server.BackgroundServerProcess) Server tommy:30572:c7af53b4 all the dispatchers started
2022-04-11T13:14:58.6994086+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "https://localhost:5001"
2022-04-11T13:14:58.7029222+07:00 [INF] (Microsoft.Hosting.Lifetime) Now listening on: "http://localhost:5000"
2022-04-11T13:14:58.7045737+07:00 [INF] (Microsoft.Hosting.Lifetime) Application started. Press Ctrl+C to shut down.
2022-04-11T13:14:58.7058592+07:00 [INF] (Microsoft.Hosting.Lifetime) Hosting environment: "Development"
2022-04-11T13:14:58.7073209+07:00 [INF] (Microsoft.Hosting.Lifetime) Content root path: "F:\source\teleSYss\CallAPI\Web\XProject.WebApi"
2022-04-11T13:15:12.8808918+07:00 [INF] () Looop
2022-04-11T13:15:12.8824997+07:00 [INF] () 1
2022-04-11T13:15:12.9065751+07:00 [INF] () Looop
2022-04-11T13:15:12.9090872+07:00 [INF] () 2
2022-04-11T13:15:12.9117610+07:00 [INF] () Looop
2022-04-11T13:15:12.9125969+07:00 [INF] () 3
2022-04-11T13:15:12.9176062+07:00 [INF] () Looop
2022-04-11T13:15:12.9183697+07:00 [INF] () 4
2022-04-11T13:15:12.9253170+07:00 [INF] () Looop
2022-04-11T13:15:12.9263285+07:00 [INF] () 5
2022-04-11T13:15:12.9318495+07:00 [INF] () Looop
2022-04-11T13:15:12.9325471+07:00 [INF] () 6
2022-04-11T13:15:12.9481833+07:00 [INF] () Looop
2022-04-11T13:15:12.9493163+07:00 [INF] () 7
2022-04-11T13:15:12.9530732+07:00 [INF] () Looop
2022-04-11T13:15:12.9544546+07:00 [INF] () 8
2022-04-11T13:18:00.7672189+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Start installing Hangfire SQL objects...
2022-04-11T13:18:00.9504591+07:00 [INF] (Hangfire.SqlServer.SqlServerObjectsInstaller) Hangfire SQL objects installed.
2022-04-11T13:18:01.0093686+07:00 [INF] (Hangfire.BackgroundJobServer) Starting Hangfire Server using job storage: 'SQL Server: 45.119.82.72@Telesys-Api'
2022-04-11T13:18:01.0115987+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2022-04-11T13:18:01.0127926+07:00 [INF] (Hangfire.BackgroundJobServer) Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
